1.097142857	1.1
3.220317460	1.2
6.115555556	1.3
7.151746032	1.4
7.954285714	2.1
8.594285714	2.2
9.102267574	2.3
9.762539683	2.4
10.433900227	3.1
11.001904762	3.2
11.570793651	3.3
12.363174603	3.4
13.361111111	4.1
14.283174603	4.2
14.963809524	4.3
15.553015873	4.4
16.294603175	5.1
17.158095238	5.2
17.715827664	5.3
18.265396825	5.4
19.575873016	6.1
20.733968254	6.2
21.744036281	6.3
22.786031746	6.4
24.096507937	7.1
25.366349206	7.2
26.636190476	7.3
27.154285714	7.4
28.038095238	8.1
28.444444444	8.2
28.911746032	8.3
29.917460317	8.4
30.587936508	9.1
31.197460317	9.2
31.695238095	9.3
32.518095238	9.4
33.540748299	10.1
34.133333333	10.2
34.630453515	10.3
35.240634921	10.4
35.890793651	11.1
36.530793651	11.2
37.272380952	11.3
37.922539683	11.4
38.811723356	12.1
39.497142857	12.2
40.167619048	12.3
40.838095238	12.4
41.582244898	13.1
42.026666667	13.2
42.544761905	13.3
43.266031746	13.4
44.718730159	14.1
45.795555556	14.2
46.780952381	14.3
47.817142857	14.4
48.522358277	15.1
49.290158730	15.2
50.082539683	15.3
50.996825397	15.4
52.033015873	16.1
52.906666667	16.2
53.645260771	16.3
54.440634921	16.4
55.344240363	17.1
56.066031746	17.2
56.937709751	17.3
57.874285714	17.4
59.459047619	18.1
60.678095238	18.2
62.537142857	18.3
64.446984127	18.4
66.153650794	19.1
67.006984127	19.2
67.880634921	19.3
69.221587302	19.4
70.176507937	20.1
71.151746032	20.2
72.055873016	20.3
72.949841270	20.4
73.843809524	21.1
75.113650794	21.2
76.464761905	21.3
77.592380952	21.4
78.902857143	22.1
79.695238095	22.2
80.264126984	22.3
80.792380952	22.4
81.337437642	23.1
81.960634921	23.2
82.624285714	23.3
83.443809524	23.4
84.104126984	24.1
84.947301587	24.2
85.627936508	24.3
86.217142857	24.4
86.789478458	25.1
87.395555556	25.2
88.015238095	25.3
88.706031746	25.4
89.396825397	26.1
90.087619048	26.2
90.686984127	26.3
91.266031746	26.4
91.895873016	27.1
92.617142857	27.2
93.328253968	27.3
94.008888889	27.4
94.608253968	28.1
95.360000000	28.2
95.872176871	28.3
96.700952381	28.4
97.269841270	29.1
97.859047619	29.2
98.427936508	29.3
98.925714286	29.4
99.525079365	30.1
100.093968254	30.2
100.764444444	30.3
101.627936508	30.4
102.349206349	31.1
103.111111111	31.2
103.700317460	31.3
104.299682540	31.4
104.970158730	32.1
105.732063492	32.2
106.321269841	32.3
106.971428571	32.4
107.672380952	33.1
108.312380952	33.2
108.850136054	33.3
109.704126984	33.4
110.760657596	34.1
112.000000000	34.2
112.782222222	34.3
113.899682540	34.4
117.007505669	35.1
118.714920635	35.2
120.655238095	35.3
