0.748843537	1.1
1.991111111	1.2
3.088253968	2.1
4.231836735	2.2
5.897868481	3.1
7.424195011	3.2
8.839183673	4.1
10.170340136	4.2
11.679863946	5.1
12.892879819	5.2
14.076507937	6.1
15.279002268	6.2
16.196712018	7.1
17.051519274	7.2
17.745850340	8.1
18.686258503	8.2
19.710997732	9.1
20.583696145	9.2
21.463356009	10.1
22.360816327	10.2
23.365079365	11.1
24.450612245	11.2
25.536145125	12.1
26.488163265	12.2
27.416961451	13.1
28.334376417	13.2
29.543129252	14.1
30.604421769	14.2
31.703219955	15.1
32.716916100	15.2
33.674739229	16.1
34.481632653	16.2
35.439546485	17.1
36.379863946	17.2
37.268027211	18.1
38.079251701	18.2
38.855850340	19.1
39.678367347	19.2
40.664648526	20.1
41.567369615	20.2
42.375260771	21.1
43.250317460	21.2
44.111269841	22.1
45.014897959	22.2
45.957551020	23.1
46.800498866	23.2
47.739546485	24.1
48.623333333	24.2
49.455396825	25.1
50.383310658	25.2
51.318390023	26.1
52.383378685	26.2
53.401473923	27.1
54.391814059	27.2
55.240272109	28.1
56.271814059	28.2
57.191428571	29.1
58.067301587	29.2
58.926439909	30.1
59.838979592	30.2
60.736009070	31.1
61.671133787	31.2
62.527959184	32.1
63.445464853	32.2
64.283197279	33.1
65.063287982	33.2
65.927256236	34.1
66.873469388	34.2
67.860317460	35.1
68.661405896	35.2
69.625034014	36.1
70.542222222	36.2
71.556848073	37.1
72.399387755	37.2
73.231111111	38.1
74.071337868	38.2
74.919365079	39.1
75.759501134	39.2
76.728072562	40.1
77.599977324	40.2
78.574444444	41.1
79.554331066	41.2
80.439523810	42.1
81.254875283	42.2
82.119863946	43.1
82.994693878	43.2
83.893605442	44.1
84.671609977	44.2
85.646802721	45.1
86.660430839	45.2
87.475374150	46.1
88.398367347	46.2
89.245895692	47.1
90.116394558	47.2
90.931360544	48.1
91.788480726	48.2
92.711473923	49.1
93.593106576	49.2
94.556848073	50.1
95.488707483	50.2
96.393786848	51.1
97.326439909	51.2
98.458412698	52.1
99.692222222	52.2
101.523446712	53.1
